TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210301210024,2,244904.589893,1,5,1,5,6,5,0,4,2,2,5,3
20210301210024,5,5877710.157422,1,3,1,4,5,5,1,4,5,2,3,3
20210301210024,7,5877710.157422,1,5,1,5,4,5,0,4,2,2,3,3
20210301210094,3,8600666.786603,4,5,1,3,0,5,0,2,1,1,0,3
20210301210094,4,73105667.686130,4,5,1,5,0,5,0,2,4,1,0,3
20210301210094,9,37269556.075282,4,5,1,4,0,5,0,2,0,1,2,3
20210301210166,3,74569618.161951,4,3,2,4,2,3,3,5,3,1,4,2
20210301210166,9,4386448.127174,4,5,1,4,0,3,0,5,0,1,2,2
20210301210166,11,4386448.127174,4,5,1,4,0,3,0,5,2,1,0,2
20210301210218,2,33900697.747025,2,5,1,6,0,1,0,3,4,4,6,5
20210301210218,5,1412529.072793,2,5,2,0,0,1,0,3,0,4,0,5
20210301210218,6,40963343.110989,2,0,1,6,0,1,0,3,0,4,5,5
20210301210227,2,2284343.603322,1,4,2,2,0,4,0,3,0,2,5,5
20210301210227,3,9137374.413288,1,5,1,5,0,4,0,3,0,2,2,5
20210301210227,4,3426515.404983,1,5,1,5,0,4,0,3,0,2,2,5
20210301210230,8,4823636.697269,3,4,1,2,0,5,2,2,6,1,5,4
20210301210230,9,2411818.348634,3,5,1,4,0,5,1,2,4,1,3,4
20210301210230,15,7235455.045903,3,6,1,6,0,5,0,2,3,1,2,4
20210301210255,3,2687157.617274,1,3,1,4,0,4,0,2,1,5,1,3
20210301210255,7,128983565.629162,1,3,1,4,0,4,0,2,0,5,0,3
20210301210255,9,1343578.808637,1,3,1,0,0,4,0,2,0,5,2,3
20210301210286,3,4927004.696696,5,0,2,0,0,3,0,4,0,1,3,2
20210301210286,5,103467098.630623,5,1,2,0,0,3,0,4,0,1,2,2
20210301210286,6,3284669.797798,5,3,2,0,0,3,0,4,0,1,0,2
20210301210288,9,479245516.910115,3,5,1,6,0,2,1,4,5,1,4,5
20210301210288,13,82628537.398296,3,6,1,6,0,2,0,4,2,1,3,5
20210301210288,14,6885711.449858,3,3,1,2,0,2,0,4,1,1,4,5
20210301210296,2,34908108.831136,1,6,2,6,0,2,0,4,0,3,0,5
20210301210296,3,13963243.532454,1,6,2,6,0,2,0,4,0,3,0,5
20210301210296,4,69816217.662272,1,6,2,6,0,2,0,4,0,3,0,5
20210301210302,5,15231793.278755,3,6,1,4,0,5,0,2,0,4,1,1
20210301210302,9,6346580.532814,3,6,1,4,0,5,0,2,0,4,0,1
20210301210302,16,58388540.901893,3,6,1,1,2,5,0,2,0,4,2,1
20210301210316,11,6423301.100549,3,4,1,6,0,1,0,5,5,4,3,2
20210301210316,15,6423301.100549,3,5,1,6,0,1,0,5,4,4,1,2
20210301210316,22,57809709.904944,3,1,1,5,4,1,5,5,4,4,5,2
20210301210328,4,10604521.811593,2,3,2,2,1,5,0,4,1,1,4,3
20210301210328,5,15906782.717389,2,3,1,3,0,5,1,4,2,1,4,3
20210301210328,7,23860174.076084,2,5,1,5,0,5,0,4,0,1,4,3
20210301210502,5,2119485.615270,2,6,1,6,0,5,0,3,0,1,5,4
20210301210502,6,17944978.209282,2,6,1,6,0,5,0,3,0,1,4,4
20210301210502,13,2825980.820359,2,6,1,6,0,5,0,3,0,1,4,4
20210301210550,2,3672922.032314,2,3,2,2,0,1,1,3,1,4,3,5
20210301210550,5,7345844.064628,2,4,1,1,0,1,1,3,1,4,2,5
20210301210550,6,69785518.613968,2,3,1,2,1,1,1,3,1,4,3,5
20210301210573,9,1642027.462337,4,4,2,3,3,1,4,3,5,2,3,5
20210301210573,10,2189369.949783,4,4,2,4,0,1,4,3,4,2,4,5
20210301210573,15,17514959.598266,4,5,2,4,0,1,4,3,5,2,4,5
20210301210591,15,18561476.106338,2,4,2,6,3,5,0,3,0,1,3,4
20210301210591,18,37122952.212677,2,4,1,5,4,5,0,3,0,1,1,4
20210301210591,22,3093579.351056,2,1,1,1,3,5,1,3,0,1,1,4
20210301210601,4,35493039.082598,2,5,1,5,1,5,1,4,2,3,2,1
20210301210601,5,8873259.770650,2,5,1,6,0,5,0,4,6,3,0,1
20210301210601,9,3327472.413994,2,2,1,1,0,5,1,4,0,3,0,1
20210301210630,14,53358036.756328,5,4,1,4,0,3,0,1,1,2,5,4
20210301210630,23,124502085.764765,5,1,2,0,0,3,2,1,1,2,3,4
20210301210630,25,106716073.512656,5,2,2,0,0,3,5,1,3,2,4,4
20210301210632,6,6211594.722058,5,1,1,2,1,1,1,3,1,4,2,2
20210301210632,7,18634784.166175,5,1,1,2,1,1,1,3,1,4,1,2
20210301210632,10,18634784.166175,5,1,1,2,1,1,1,3,1,4,1,2
20210301210639,4,10454052.325393,2,3,2,1,0,4,0,3,3,5,2,1
20210301210639,8,5227026.162696,2,3,2,4,0,4,1,3,3,5,1,1
20210301210639,10,94086470.928533,2,3,1,4,0,4,1,3,4,5,3,1
20210301210648,9,40455747.513974,1,3,2,5,0,2,0,3,4,5,3,4
20210301210648,14,4315279.734824,1,4,2,3,0,2,0,3,3,5,5,4
20210301210648,23,16182299.005590,1,4,1,2,0,2,0,3,2,5,5,4
20210301210685,2,2493735.598947,2,4,2,5,0,1,0,4,1,3,4,5
20210301210685,5,14962413.593680,2,3,2,4,0,1,0,4,2,3,2,5
20210301210685,11,4987471.197893,2,3,2,3,0,1,0,4,2,3,2,5
20210301210707,5,5127968.836055,2,3,2,3,0,3,0,4,1,1,0,5
20210301210707,7,2563984.418027,2,2,2,3,0,3,0,4,2,1,1,5
20210301210707,15,12819922.090137,2,3,2,0,0,3,3,4,1,1,4,5
20210301210736,4,4523582.134750,2,3,2,4,0,4,0,3,0,1,4,5
20210301210736,8,12816816.048457,2,3,1,4,0,4,0,3,3,1,3,5
20210301210736,9,1507860.711583,2,5,1,6,0,4,0,3,5,1,3,5
20210301210787,7,11113953.726811,5,4,2,3,0,4,2,1,2,2,2,3
20210301210787,10,44455814.907244,5,2,2,2,0,4,2,1,2,2,2,3
20210301210787,13,7409302.484541,5,3,2,3,0,4,2,1,2,2,3,3
20210301210810,2,2885442.968765,5,5,2,6,0,1,0,3,0,2,0,4
20210301210810,4,11541771.875060,5,5,2,6,0,1,0,3,0,2,2,4
20210301210810,5,20198100.781356,5,5,1,5,0,1,0,3,0,2,2,4
20210301210817,2,1306249.819023,2,5,1,0,2,5,3,1,0,4,3,3
20210301210817,3,653124.909511,2,3,1,5,2,5,0,1,0,4,0,3
20210301210817,8,11103123.461694,2,6,1,0,2,5,0,1,0,4,3,3
20210301210831,3,2962296.953827,4,6,2,6,0,5,0,3,0,1,3,2
20210301210831,12,4937161.589712,4,6,2,6,0,5,0,3,3,1,6,2
20210301210831,13,3949729.271770,4,6,1,6,0,5,0,3,0,1,6,2
20210301210834,2,12375666.236106,1,5,2,5,0,4,0,2,2,5,0,3
20210301210834,5,2062611.039351,1,5,2,3,0,4,0,2,1,5,0,3
20210301210834,11,6187833.118053,1,5,1,1,0,4,0,2,1,5,0,3
20210301210955,3,1463224.405606,1,2,2,6,0,3,6,5,6,2,0,4
20210301210955,5,731612.202803,1,3,2,-2,4,3,6,5,4,2,3,4
20210301210955,6,5852897.622425,1,0,2,4,0,3,6,5,0,2,0,4
20210301211003,7,8810581.153105,2,4,2,4,0,1,0,4,3,3,2,5
20210301211003,8,14096929.844968,2,2,2,2,0,1,1,4,2,3,1,5
20210301211003,9,1174744.153747,2,3,2,1,0,1,0,4,1,3,2,5
20210301211007,3,2331609.897733,3,6,1,6,0,2,0,5,0,1,0,4
20210301211007,10,20984489.079596,3,6,2,6,0,2,0,5,0,1,0,4
20210301211007,15,6994829.693199,3,6,1,6,0,2,0,5,0,1,0,4
20210301211047,5,5929293.489585,4,5,1,6,0,5,0,1,0,2,0,3
20210301211047,6,47434347.916679,4,5,1,6,0,5,0,1,0,2,0,3
20210301211047,8,5929293.489585,4,6,2,6,0,5,0,1,0,2,0,3
20210301211076,4,26245346.985561,1,5,1,6,0,2,0,3,3,5,0,4
20210301211076,5,2624534.698556,1,6,1,6,0,2,0,3,2,5,2,4
20210301211076,11,2624534.698556,1,5,1,6,0,2,0,3,2,5,4,4
20210301211098,6,3426486.186168,4,4,1,2,0,5,0,1,0,3,0,2
20210301211098,8,1713243.093084,4,4,1,2,0,5,0,1,0,3,0,2
20210301211098,14,10279458.558504,4,5,1,2,0,5,0,1,0,3,0,2
20210301211106,3,1956295.644001,2,4,2,6,1,5,0,4,4,3,1,1
20210301211106,7,1467221.733001,2,6,2,5,2,5,0,4,1,3,5,1
20210301211106,10,1467221.733001,2,5,2,5,1,5,0,4,1,3,5,1
20210301211116,8,48831189.492428,4,6,1,5,0,5,0,3,2,2,4,1
20210301211116,9,8138531.582071,4,6,1,6,0,5,0,3,2,2,4,1
20210301211116,14,2712843.860690,4,6,2,6,0,5,0,3,2,2,5,1
20210301211121,3,287682.570133,5,3,2,4,1,2,1,1,2,4,1,3
20210301211121,6,1150730.280530,5,4,1,5,2,2,2,1,2,4,3,3
20210301211121,7,4027555.981857,5,5,1,2,0,2,1,1,1,4,4,3
20210301211130,4,3919530.611273,1,4,2,6,0,4,0,2,0,3,0,5
20210301211130,6,20904163.260123,1,5,2,3,0,4,0,2,0,3,0,5
20210301211130,8,15242619.043840,1,5,2,3,0,4,0,2,0,3,0,5
20210301211142,3,3796206.067552,4,4,1,3,0,3,0,5,3,1,0,2
20210301211142,5,1265402.022517,4,4,1,3,0,3,0,5,0,1,0,2
20210301211142,8,632701.011259,4,4,2,4,0,3,0,5,0,1,0,2
20210301211154,2,1378438.747781,5,6,2,3,0,4,0,1,0,3,2,2
20210301211154,7,16541264.973367,5,6,1,6,0,4,0,1,0,3,0,2
20210301211154,8,5513754.991122,5,4,1,3,0,4,0,1,0,3,2,2
20210301211169,6,1078155.039581,5,5,1,3,0,3,0,1,2,2,3,4
20210301211169,8,359385.013194,5,5,2,4,0,3,0,1,1,2,3,4
20210301211169,10,3234465.118742,5,5,1,5,0,3,0,1,1,2,2,4
20210301211182,6,5031677.543945,4,5,2,6,0,1,0,2,0,5,3,3
20210301211182,11,5031677.543945,4,4,2,3,0,1,0,2,0,5,2,3
20210301211182,16,1677225.847982,4,5,2,5,0,1,0,2,0,5,2,3
20210301211205,2,1635780.793464,4,6,2,6,3,3,6,2,6,5,5,1
20210301211205,4,17939062.701652,4,0,2,5,0,3,0,2,0,5,0,1
20210301211251,4,37201663.225774,2,5,1,6,4,4,0,1,3,5,5,3
20210301211251,6,10629046.635935,2,5,1,5,4,4,0,1,0,5,3,3
20210301211251,7,2657261.658984,2,5,1,6,4,4,0,1,3,5,5,3
20210301211260,2,1184647.365342,4,6,2,6,6,2,6,5,0,1,-2,3
20210301211260,4,0.000000,4,-3,-3,-3,6,2,-3,5,6,1,6,3
20210301211260,5,0.000000,4,-3,-3,-3,-3,2,-3,5,-3,1,-3,3
20210301211270,8,5504250.355919,4,3,1,6,3,1,0,2,3,5,4,3
20210301211270,13,8600391.181124,4,3,2,2,5,1,4,2,3,5,5,3
20210301211270,18,3440156.472450,4,4,1,1,4,1,0,2,4,5,5,3
20210301211276,7,9291760.629914,1,5,2,3,0,2,0,5,0,3,0,4
20210301211276,10,4129671.391073,1,6,2,5,0,2,0,5,0,3,0,4
20210301211276,11,12389014.173218,1,6,2,5,0,2,0,5,0,3,2,4
20210301211280,3,6962254.495025,5,4,1,6,4,2,0,3,2,4,3,1
20210301211280,4,43775175.137473,5,3,1,3,4,2,0,3,5,4,4,1
20210301211280,10,12183945.366295,5,4,1,2,4,2,0,3,2,4,5,1
20210301211283,7,16798421.673747,1,4,1,6,2,5,0,4,0,2,2,3
20210301211283,11,8399210.836873,1,6,2,5,3,5,0,4,2,2,4,3
20210301211283,15,120388688.661852,1,6,1,6,4,5,2,4,4,2,6,3
20210301211354,4,12989452.008302,4,4,1,4,0,2,0,1,0,3,0,5
20210301211354,5,811840.750519,4,4,1,4,0,2,0,1,0,3,0,5
20210301211354,6,405920.375259,4,4,1,3,0,2,0,1,0,3,0,5
20210301211381,2,18419996.491693,4,6,1,6,0,3,0,1,0,2,0,5
20210301211381,9,3683999.298339,4,6,1,6,0,3,0,1,1,2,0,5
20210301211381,10,16332396.889301,4,6,1,6,0,3,0,1,1,2,0,5
20210301211430,4,611167.902242,5,3,1,0,0,4,0,3,0,1,2,2
20210301211430,6,6111679.022423,5,6,1,6,0,4,0,3,0,1,2,2
20210301211430,11,22490978.802516,5,3,1,3,0,4,0,3,0,1,2,2
20210301211461,3,2009872.932301,1,4,2,5,0,2,0,5,0,4,5,3
20210301211461,6,2411847.518761,1,5,2,6,0,2,0,5,0,4,3,3
20210301211461,14,8039491.729202,1,6,1,6,2,2,0,5,0,4,4,3
20210301211481,6,16820724.619988,3,5,1,6,0,5,0,4,2,1,3,2
20210301211481,9,11213816.413325,3,4,1,0,0,5,0,4,0,1,3,2
20210301211481,16,5606908.206663,3,2,1,0,0,5,0,4,0,1,4,2
20210301211485,9,8768823.541801,4,3,1,3,1,2,3,3,0,1,0,5
20210301211485,19,6820196.088068,4,5,1,6,0,2,1,3,0,1,0,5
20210301211485,21,17537647.083603,4,5,1,6,0,2,1,3,0,1,0,5
20210301211514,6,2883201.641819,4,6,1,6,0,1,0,3,0,5,0,2
20210301211514,8,2883201.641819,4,6,1,6,0,1,0,3,0,5,0,2
20210301211514,14,16722569.522549,4,6,1,6,0,1,0,3,0,5,0,2
20210301211519,9,2313134.871073,5,5,1,6,0,3,0,4,0,1,0,2
20210301211519,11,2313134.871073,5,5,1,6,0,3,0,4,0,1,3,2
20210301211544,4,9151333.726305,4,6,1,6,5,2,6,3,3,1,6,5
20210301211544,5,110257.032847,4,6,1,6,6,2,6,3,3,1,6,5
20210301211544,6,1323084.394165,4,6,1,6,6,2,6,3,0,1,6,5
20210301211548,4,110088644.981848,1,5,1,6,0,5,0,3,1,4,2,2
20210301211548,11,36696214.993949,1,6,2,6,0,5,0,3,0,4,0,2
20210301211548,12,31453898.566242,1,6,2,6,0,5,0,3,0,4,0,2
20210301211557,8,15877170.670227,3,0,1,0,0,1,1,5,1,2,2,4
20210301211557,13,15877170.670227,3,1,1,0,0,1,0,5,1,2,2,4
20210301211557,15,15877170.670227,3,0,1,0,0,1,0,5,0,2,3,4
20210301211560,6,1085678.893334,4,5,2,3,3,3,0,2,0,5,3,1
20210301211560,8,16828022.846673,4,6,2,3,2,3,0,2,0,5,2,1
20210301211560,9,6514073.360002,4,0,2,0,0,3,0,2,0,5,0,1
20210301211576,15,3419335.983170,1,4,2,1,0,5,0,2,2,4,5,3
20210301211576,16,6838671.966339,1,4,1,2,0,5,0,2,1,4,5,3
20210301211576,18,1709667.991585,1,4,2,5,0,5,0,2,4,4,5,3
20210301211580,5,1154797.876556,2,5,1,0,0,3,0,4,0,5,2,1
20210301211580,10,6928787.259337,2,3,2,3,0,3,0,4,0,5,4,1
20210301211580,12,577398.938278,2,4,2,6,0,3,0,4,0,5,0,1
20210301211666,9,8695302.571934,2,6,1,5,0,5,0,3,0,1,0,4
20210301211666,13,3952410.259970,2,5,2,5,0,5,0,3,3,1,0,4
20210301211666,15,1317470.086657,2,5,2,5,0,5,0,3,3,1,0,4
20210301211714,2,3974456.391499,1,0,1,0,0,3,0,4,0,5,0,2
20210301211714,7,15897825.565997,1,0,1,0,0,3,0,4,0,5,3,2
20210301211714,9,15897825.565997,1,0,1,1,0,3,0,4,0,5,0,2
20210301211730,3,4096950.380289,3,5,1,6,2,5,0,4,0,2,0,1
20210301211730,10,4096950.380289,3,6,1,6,0,5,0,4,0,2,0,1
20210301211730,14,8193900.760578,3,6,1,6,0,5,0,4,0,2,0,1
20210301211737,2,24732638.540934,1,6,1,6,1,4,0,3,3,5,0,2
20210301211737,3,1030526.605872,1,6,1,6,1,4,0,3,2,5,1,2
20210301211737,5,4122106.423489,1,4,2,5,1,4,0,3,1,5,6,2
20210301211742,5,2156404.883730,5,5,1,5,0,2,0,3,1,1,2,4
20210301211742,7,970382.197679,5,4,1,5,0,2,0,3,0,1,2,4
20210301211742,15,6469214.651191,5,3,2,4,0,2,0,3,2,1,2,4
20210301211764,2,3907548.128724,5,6,1,5,0,2,0,3,0,4,2,1
20210301211764,4,11722644.386172,5,6,1,6,0,2,6,3,0,4,3,1
20210301211764,6,11722644.386172,5,6,1,6,0,2,0,3,0,4,0,1
20210301211775,4,2873314.278136,5,5,1,5,3,1,1,4,0,2,3,3
20210301211775,5,7901614.264874,5,4,2,5,1,1,0,4,0,2,2,3
20210301211775,15,4309971.417204,5,4,1,4,1,1,1,4,0,2,2,3
20210301211845,11,538180.766088,4,6,2,0,0,1,0,2,0,3,0,5
20210301211845,13,3229084.596526,4,6,2,5,0,1,0,2,0,3,4,5
20210301211845,15,2152723.064351,4,0,2,0,0,1,0,2,0,3,0,5
20210301211856,3,369528.671207,1,3,2,0,1,3,0,5,1,2,5,4
20210301211856,6,554293.006811,1,4,1,3,0,3,0,5,0,2,1,4
20210301211856,9,6651516.081728,1,5,1,4,0,3,0,5,0,2,1,4
20210301211862,1,12678911.845283,3,4,2,4,6,4,0,5,0,2,4,1
20210301211862,2,528287.993553,3,4,2,4,6,4,0,5,0,2,4,1
20210301211862,4,528287.993553,3,4,2,5,5,4,0,5,0,2,0,1
20210301211870,1,47906804.233843,1,6,1,6,0,5,0,2,0,4,0,3
20210301211870,6,35930103.175382,1,6,1,6,0,5,0,2,0,4,0,3
20210301211870,8,23953402.116922,1,6,1,6,0,5,0,2,0,4,0,3
20210301211905,4,5796846.183903,2,4,2,6,0,3,0,5,4,4,3,1
20210301211905,9,5796846.183903,2,5,1,6,0,3,0,5,0,4,6,1
20210301211913,2,757143.971327,2,3,2,5,0,1,0,3,5,4,5,5
20210301211913,10,14764307.440871,2,3,2,5,3,1,4,3,5,4,5,5
20210301211913,13,2271431.913980,2,4,2,0,2,1,1,3,2,4,5,5
20210301211916,14,32159526.295934,4,4,1,6,0,3,0,5,4,1,1,2
20210301211916,15,1191093.566516,4,4,1,1,0,3,0,5,4,1,1,2
20210301211916,22,7146561.399096,4,4,1,5,0,3,0,5,3,1,5,2
20210301211954,3,5408422.337366,2,0,1,0,0,1,0,4,0,3,0,5
20210301211954,9,5408422.337366,2,0,1,0,0,1,1,4,1,3,1,5
20210301211954,15,24337900.518149,2,0,1,0,0,1,1,4,1,3,1,5
20210301211977,3,7599282.873546,1,6,1,4,0,4,0,2,2,5,1,3
20210301211977,8,1169120.442084,1,5,1,5,0,4,1,2,1,5,2,3
20210301211977,10,4091921.547294,1,4,2,4,4,4,1,2,2,5,4,3
20210301211995,7,14552628.981542,4,5,1,6,0,2,0,1,0,5,0,3
20210301211995,15,1293567.020582,4,3,1,3,0,2,0,1,1,5,3,3
20210301211995,17,1293567.020582,4,3,1,0,0,2,0,1,1,5,1,3
20210301212065,11,8945695.931687,1,6,2,6,0,4,0,3,0,2,2,5
20210301212065,12,17891391.863375,1,5,2,6,0,4,0,3,2,2,2,5
20210301212065,17,8945695.931687,1,5,2,5,0,4,0,3,0,2,5,5
20210301212082,11,719505.494495,2,5,1,3,0,3,0,4,0,1,1,5
20210301212082,16,4317032.966967,2,4,1,2,0,3,0,4,1,1,2,5
20210301212082,19,2878021.977978,2,3,2,2,0,3,0,4,0,1,2,5
20210301212083,1,2054453.053715,5,5,2,5,0,4,3,3,0,2,0,1
20210301212083,9,12326718.322288,5,0,2,0,0,4,0,3,0,2,0,1
20210301212083,14,18490077.483432,5,5,2,0,0,4,0,3,0,2,0,1
20210301212086,3,2232954.340259,3,6,1,6,0,5,0,4,0,2,0,1
20210301212086,9,2232954.340259,3,6,1,6,0,5,0,4,0,2,0,1
20210301212086,12,13397726.041556,3,6,1,6,0,5,0,4,0,2,0,1
20210301212092,5,4539162.499615,3,6,2,6,1,5,0,2,0,1,2,4
20210301212092,12,2723497.499769,3,6,1,6,0,5,0,2,0,1,0,4
20210301212092,13,10893989.999077,3,6,1,6,0,5,0,2,0,1,0,4
20210301212102,2,3754739.974332,1,4,1,3,0,3,0,2,0,4,1,5
20210301212102,5,87610599.401082,1,4,2,3,0,3,0,2,1,4,0,5
20210301212102,8,7509479.948664,1,5,1,5,0,3,0,2,0,4,0,5
20210301212126,3,1073047.134265,3,5,2,5,0,1,0,4,0,5,3,2
20210301212126,7,4292188.537062,3,5,1,4,4,1,0,4,0,5,5,2
20210301212126,11,2146094.268531,3,4,2,4,4,1,0,4,0,5,6,2
20210301212155,3,8218634.878919,4,6,1,6,2,2,0,3,0,1,2,5
20210301212155,11,60269989.112074,4,6,1,5,2,2,0,3,2,1,0,5
20210301212155,22,67118851.511173,4,6,1,6,0,2,0,3,0,1,0,5
20210301212164,4,56284676.750982,2,3,1,6,0,3,0,5,2,4,1,1
20210301212164,7,2355007.395439,2,5,1,5,0,3,0,5,2,4,5,1
20210301212164,8,1177503.697719,2,4,1,0,1,3,0,5,1,4,5,1
20210301212169,2,8621646.685832,5,4,1,4,0,3,0,2,1,1,0,4
20210301212169,3,107770583.572906,5,2,1,1,1,3,3,2,4,1,0,4
20210301212169,8,19398705.043123,5,4,2,5,0,3,1,2,0,1,5,4
20210301212178,1,1787161.624230,1,4,2,5,0,4,0,3,2,2,0,5
20210301212178,4,3574323.248460,1,3,2,6,0,4,0,3,3,2,1,5
20210301212178,11,6850786.226215,1,6,1,6,0,4,0,3,0,2,3,5
20210301212179,3,28131661.721496,3,6,1,4,0,1,0,5,4,2,6,4
20210301212179,6,630754.747119,3,5,1,5,0,1,0,5,4,2,6,4
20210301212179,7,1261509.494237,3,5,1,3,0,1,0,5,5,2,6,4
20210301212237,5,6295664.303279,4,6,1,6,0,5,0,3,0,2,2,1
20210301212237,7,3147832.151639,4,6,1,6,0,5,0,3,0,2,4,1
20210301212237,8,3147832.151639,4,6,1,6,0,5,0,3,0,2,1,1
20210301212242,2,18839569.743804,5,5,2,6,0,3,0,1,0,2,0,4
20210301212242,18,56518709.231413,5,5,1,5,0,3,0,1,0,2,4,4
20210301212242,20,6279856.581268,5,5,2,5,0,3,0,1,0,2,4,4
20210301212294,2,647722.180478,3,5,2,6,0,1,0,5,0,2,5,4
20210301212294,3,1295444.360955,3,3,1,-2,0,1,0,5,0,2,0,4
20210301212294,7,647722.180478,3,3,1,3,0,1,0,5,0,2,3,4
20210301212305,3,1231901.155596,1,4,2,4,5,3,3,4,5,2,3,5
20210301212305,9,2463802.311191,1,3,2,4,4,3,5,4,4,2,3,5
20210301212305,10,1847851.733393,1,3,2,3,4,3,3,4,4,2,4,5
20210301212328,2,37937678.185709,4,6,1,6,0,3,0,2,0,1,3,5
20210301212328,8,16861190.304760,4,6,1,6,3,3,0,2,0,1,6,5
20210301212328,9,7868555.475554,4,6,1,6,3,3,0,2,0,1,5,5
20210301212344,8,15081831.718061,1,5,1,6,4,2,0,3,1,4,2,5
20210301212344,9,3770457.929515,1,5,1,6,2,2,0,3,1,4,2,5
20210301212344,14,7540915.859031,1,5,1,5,1,2,0,3,1,4,2,5
20210302210004,3,7298245.890270,5,4,2,3,0,1,0,3,3,4,2,2
20210302210004,8,4865497.260180,5,3,1,5,0,1,0,3,3,4,2,2
20210302210004,11,6081871.575225,5,3,2,3,0,1,0,3,0,4,4,2
20210302210005,5,8389020.241900,1,4,1,1,3,3,2,5,2,2,1,4
20210302210005,14,8389020.241900,1,4,1,4,0,3,0,5,0,2,0,4
20210302210005,20,16778040.483801,1,5,2,4,0,3,0,5,0,2,0,4
20210302210007,6,10935905.035686,3,0,1,2,0,5,2,2,4,4,3,1
20210302210007,8,5467952.517843,3,0,1,2,0,5,3,2,4,4,3,1
20210302210007,13,196846290.642348,3,1,1,0,2,5,1,2,3,4,2,1
20210302210008,3,24902897.174214,4,6,1,6,2,3,0,5,0,2,0,1
20210302210008,4,4669293.220165,4,6,2,6,4,3,0,5,0,2,2,1
20210302210008,6,3112862.146777,4,6,2,6,5,3,0,5,0,2,4,1
20210302210015,8,17171937.338937,4,3,1,3,0,1,0,2,0,3,0,5
20210302210015,9,2861989.556490,4,3,1,3,0,1,0,2,0,3,0,5
20210302210015,11,8585968.669469,4,3,1,2,0,1,0,2,0,3,0,5
20210302210021,15,3776588.055205,1,6,1,6,0,2,0,4,0,5,0,3
20210302210021,16,3776588.055205,1,6,1,6,0,2,0,4,0,5,0,3
20210302210021,19,5664882.082807,1,6,1,6,0,2,0,4,0,5,0,3
20210302210023,2,5061214.091540,2,6,2,6,5,3,0,1,2,5,2,4
20210302210023,3,20244856.366161,2,5,2,6,5,3,0,1,1,5,1,4
20210302210023,5,10122428.183080,2,6,1,6,5,3,0,1,0,5,1,4
20210302210034,8,6629991.338771,2,6,1,5,0,4,0,1,0,3,3,5
20210302210034,16,6629991.338771,2,5,1,5,0,4,0,1,0,3,3,5
20210302210034,18,3314995.669385,2,6,1,6,0,4,0,1,0,3,5,5
20210302210038,6,8366776.447113,1,0,1,6,0,3,0,2,0,5,1,4
20210302210038,8,33467105.788454,1,0,2,6,0,3,0,2,0,5,0,4
20210302210038,11,2788925.482371,1,0,2,6,0,3,0,2,0,5,0,4
20210302210064,2,18841992.288790,1,4,1,4,0,2,0,5,1,4,3,3
20210302210064,6,4710498.072197,1,5,1,4,0,2,0,5,1,4,2,3
20210302210064,12,37683984.577580,1,5,1,5,0,2,1,5,1,4,2,3
20210302210090,5,41888136.598344,3,3,1,2,2,2,1,1,5,4,3,5
20210302210090,12,11088036.158385,3,5,2,5,2,2,0,1,1,4,3,5
20210302210090,14,8624028.123189,3,3,2,3,2,2,1,1,1,4,2,5
20210302210098,2,20813942.774612,2,4,2,3,2,1,0,4,0,5,1,3
20210302210098,3,6937980.924871,2,5,2,4,0,1,0,4,1,5,0,3
20210302210098,6,8094311.079016,2,6,2,4,1,1,0,4,0,5,0,3
20210302210107,2,15629107.247798,1,4,2,3,0,4,0,3,1,2,2,5
20210302210107,6,15629107.247798,1,3,2,3,0,4,0,3,1,2,2,5
20210302210107,8,62255943.870397,1,4,2,3,0,4,0,3,1,2,4,5
20210302210121,9,11420900.620649,1,6,2,6,2,5,0,2,3,3,4,4
20210302210121,10,5710450.310324,1,4,2,3,1,5,0,2,3,3,4,4
20210302210121,12,8565675.465487,1,6,1,6,2,5,0,2,2,3,5,4
20210302210134,7,14044596.639400,4,5,1,2,0,1,0,3,4,5,1,2
20210302210134,10,14282640.650237,4,5,2,1,0,1,0,3,4,5,2,2
20210302210134,14,7141320.325119,4,4,1,6,0,1,1,3,5,5,3,2
20210302210139,7,5266588.230711,3,5,1,4,3,4,0,2,1,5,1,1
20210302210139,10,18959717.630559,3,5,1,5,1,4,0,2,0,5,2,1
20210302210139,11,97958541.091223,3,4,2,1,0,4,0,2,0,5,3,1
20210302210146,9,5965454.340520,1,1,2,0,0,5,0,3,4,2,0,4
20210302210146,12,14487531.969835,1,5,1,4,0,5,0,3,0,2,0,4
20210302210146,14,25566232.887944,1,3,1,2,0,5,0,3,0,2,2,4
20210302210170,4,136785873.419691,2,5,1,5,0,4,1,5,4,3,2,1
20210302210170,8,2661203.763029,2,5,1,2,1,4,0,5,0,3,2,1
20210302210170,9,2128963.010423,2,5,1,1,1,4,0,5,1,3,2,1
20210302210179,3,657090.062399,5,3,2,5,0,1,2,2,5,3,6,4
20210302210179,4,39425403.743955,5,4,1,6,0,1,3,2,6,3,5,4
20210302210179,5,1971270.187198,5,3,2,4,2,1,0,2,3,3,4,4
20210302210180,2,39159360.621866,1,2,2,0,2,2,0,3,3,5,4,4
20210302210180,19,19579680.310933,1,2,1,1,1,2,1,3,4,5,2,4
